query_id,query_type,genre,book_relpath,book_name,query_text,expected_signals,expected_node_ids,relevance_label,assessor,notes
Q0011,thematic_semantic,philosophy,corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),Groundwork of the Metaphysics of Morals (Kant),How does Kant distinguish acting from duty from acting in accordance with duty when explaining moral worth?,duty moral worth inclination act from duty philanthropist,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0069|chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0066|chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0064,high,claude,Philanthropist thought experiment — core duty vs inclination argument
Q0012,cross_chunk_context,philosophy,corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),Groundwork of the Metaphysics of Morals (Kant),How does Kant develop the concept of autonomy and the kingdom of ends as the foundation of rational moral legislation?,autonomy rational will kingdom of ends legislation dignity,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0288|chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0274|chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0419,high,claude,Kingdom of ends developed across Section II and III — cross-chunk candidate
Q0013,factual_entity,philosophy,corpus/philosophy/Meditations,Meditations,What were the key biographical facts about Marcus Aurelius — his birth his adoptive family and his education under Fronto?,Marcus Aurelius born adoptive grandfather Fronto education emperor,chunk:meditations.md:0000|chunk:meditations.md:0844,high,claude,Biographical introduction and editorial notes on Aurelius's life
Q0014,thematic_semantic,philosophy,corpus/philosophy/Meditations,Meditations,How does Marcus Aurelius counsel the reader to use reason and nature to achieve tranquility in the face of death and adversity?,reason nature tranquility death adversity Stoic,chunk:meditations.md:0068,high,human,Core Stoic theme appears throughout all twelve books
Q0015,cross_chunk_context,philosophy,corpus/philosophy/Meditations,Meditations,How does Marcus Aurelius develop the theme of impermanence — that all things pass away — across the Meditations?,impermanence change flux pass away moment now,chunk:meditations.md:0836|chunk:meditations.md:0681|chunk:meditations.md:0666,high,claude,Impermanence recurs across all twelve books — classic cross-chunk SIMILAR_TO candidate
Q0016,factual_entity,philosophy,corpus/philosophy/The Federalist Papers,The Federalist Papers,According to Federalist No. 10 what are the causes of faction and why can those causes not be removed in a republican government?,faction causes violence republican government liberty,chunk:the_federalist_papers.md:0277|chunk:the_federalist_papers.md:1698|chunk:the_federalist_papers.md:2863,high,claude,Federalist 10 Madison — definitive faction analysis
Q0017,thematic_semantic,philosophy,corpus/philosophy/The Federalist Papers,The Federalist Papers,How do the Federalist Papers argue for the separation of legislative executive and judicial powers as a check on tyranny?,separation powers checks balances executive legislative judicial,chunk:the_federalist_papers.md:2582|chunk:the_federalist_papers.md:2547|chunk:the_federalist_papers.md:2396,high,claude,Separation of powers argument distributed across multiple Federalist numbers
Q0018,cross_chunk_context,philosophy,corpus/philosophy/The Federalist Papers,The Federalist Papers,How do the Federalist Papers argue that a large republic with an extended sphere of territory is better able to control faction than a small one?,large republic extended sphere ratification constitution size,chunk:the_federalist_papers.md:1429|chunk:the_federalist_papers.md:1428|chunk:the_federalist_papers.md:1230,high,claude,Extended sphere argument spans Federalist 10 and ratification essays — cross-chunk candidate
Q0019,factual_entity,science-fiction,corpus/science-fiction/The Lost World,The Lost World,What dinosaurs and prehistoric creatures did the expedition encounter on the plateau and what role did Professor Challenger play in identifying them?,Challenger pterodactyl dinosaur plateau prehistoric creatures,chunk:the_lost_world.md:0386|chunk:the_lost_world.md:0385,high,claude,Pterodactyl encounter and plateau discovery
Q0020,thematic_semantic,science-fiction,corpus/science-fiction/The Lost World,The Lost World,How does Doyle use the scientific controversy surrounding the expedition to satirize the Victorian scientific establishment?,scientific establishment lecture controversy skepticism Challenger,chunk:the_lost_world.md:0956|chunk:the_lost_world.md:0994,high,claude,Lecture hall skepticism and scientific debate scenes
Q0021,cross_chunk_context,science-fiction,corpus/science-fiction/The Lost World,The Lost World,How does Malone's role as a newspaper reporter shape the narrative perspective and provide reader access to the expedition's discoveries?,Malone reporter Daily Gazette narrative Roxton expedition,chunk:the_lost_world.md:0220|chunk:the_lost_world.md:0761|chunk:the_lost_world.md:0760,high,claude,Malone's reporter framing device recurs from opening to expedition scenes
Q0022,factual_entity,science-fiction,corpus/science-fiction/Pellucidar (Burroughs),Pellucidar (Burroughs),Who is David Innes and how did he come to discover and explore the inner world of Pellucidar?,David Innes Pellucidar inner earth iron mole Perry telegraph,chunk:pellucidar_burroughs.md:0020|chunk:pellucidar_burroughs.md:0017,high,claude,Opening framing and David Innes backstory
Q0023,thematic_semantic,science-fiction,corpus/science-fiction/Pellucidar (Burroughs),Pellucidar (Burroughs),What is the role of the Mahars as rulers of Pellucidar and how do the human inhabitants resist their reptilian dominion?,Mahar reptile rulers Pellucidar resistance humans,chunk:pellucidar_burroughs.md:0706|chunk:pellucidar_burroughs.md:0691|chunk:pellucidar_burroughs.md:0231,high,claude,Mahar dominion and the rebellion against them
Q0024,cross_chunk_context,science-fiction,corpus/science-fiction/Pellucidar (Burroughs),Pellucidar (Burroughs),How does David Innes's love for Dian the Beautiful motivate his journeys and rescues throughout the story?,Dian Beautiful rescue love David Innes Perry Abner,chunk:pellucidar_burroughs.md:0020|chunk:pellucidar_burroughs.md:0075|chunk:pellucidar_burroughs.md:0038,high,claude,Dian motivation thread runs from framing device through mid-narrative
Q0025,factual_entity,science-fiction,corpus/science-fiction/The Gods of Mars,The Gods of Mars,Who are the Holy Therns and what is their relationship to the goddess Issus in the deceptive religion of Barsoom?,Holy Therns Issus goddess false religion John Carter Barsoom,chunk:the_gods_of_mars.md:0786|chunk:the_gods_of_mars.md:0580|chunk:the_gods_of_mars.md:0543,high,claude,Thern/Issus deception revealed to John Carter
Q0026,thematic_semantic,science-fiction,corpus/science-fiction/The Gods of Mars,The Gods of Mars,How does John Carter's return to Barsoom reunite him with Dejah Thoris and the forces of Helium in the face of new enemies?,John Carter Dejah Thoris Helium reunion Barsoom enemies,chunk:the_gods_of_mars.md:0826|chunk:the_gods_of_mars.md:0444|chunk:the_gods_of_mars.md:0051,high,claude,Reunion and Helium loyalty theme
Q0027,cross_chunk_context,science-fiction,corpus/science-fiction/The Gods of Mars,The Gods of Mars,How does Burroughs use the Valley of Dor with its Plant Men and white apes to establish the horror of the false Martian afterlife?,Plant Men Valley Dor white apes horror afterlife false,chunk:the_gods_of_mars.md:0201|chunk:the_gods_of_mars.md:0200|chunk:the_gods_of_mars.md:0792,high,claude,Valley of Dor described early then revisited — cross-chunk candidate
Q0028,factual_entity,english-literature,corpus/english-literature/The Jungle Book (Kipling),The Jungle Book (Kipling),How does Mowgli defeat Shere Khan and what role does the wolf pack play in that confrontation?,Mowgli Shere Khan tiger defeat wolf pack Council Rock,chunk:the_jungle_book_kipling.md:0300|chunk:the_jungle_book_kipling.md:0294|chunk:the_jungle_book_kipling.md:0096,high,claude,Tiger defeat scene and wolf pack loyalty
Q0029,thematic_semantic,english-literature,corpus/english-literature/The Jungle Book (Kipling),The Jungle Book (Kipling),How is the Law of the Jungle presented as a governing moral code through Baloo and Bagheera's teachings to Mowgli?,Law of the Jungle Baloo Bagheera teaching moral code rules,chunk:the_jungle_book_kipling.md:0211|chunk:the_jungle_book_kipling.md:0212|chunk:the_jungle_book_kipling.md:0209,high,claude,Law of the Jungle taught and enforced across multiple chapters
Q0030,cross_chunk_context,english-literature,corpus/english-literature/The Jungle Book (Kipling),The Jungle Book (Kipling),How does Mowgli's dual identity as both jungle creature and man-child come into conflict when he encounters the human village?,man village fire red flower identity Messua conflict Mowgli,chunk:the_jungle_book_kipling.md:0292|chunk:the_jungle_book_kipling.md:0223|chunk:the_jungle_book_kipling.md:0280,high,claude,Man-jungle identity tension recurs from Monkey People episode through village arc
Q0031,factual_entity,english-literature,corpus/english-literature/Robinson Crusoe,Robinson Crusoe,How did Crusoe survive his shipwreck and establish himself on the island after the crew perished?,shipwreck survival island crew perished provisions,chunk:robinson_crusoe.md:0921|chunk:robinson_crusoe.md:0776,high,claude,Shipwreck survival and island establishment
Q0032,thematic_semantic,english-literature,corpus/english-literature/Robinson Crusoe,Robinson Crusoe,What is the nature of Crusoe's relationship with Friday — how does he teach and govern him and what moral tensions does it reveal?,Friday companion servant rescue relationship cannibals,chunk:robinson_crusoe.md:1406|chunk:robinson_crusoe.md:1373|chunk:robinson_crusoe.md:1352,high,claude,Friday relationship with colonial and moral dimensions
Q0033,cross_chunk_context,english-literature,corpus/english-literature/Robinson Crusoe,Robinson Crusoe,How does Crusoe gradually build his fortifications shelter agriculture and animal husbandry as a self-sufficient society of one?,fortification fence goats agriculture shelter planted crops,chunk:robinson_crusoe.md:1125|chunk:robinson_crusoe.md:1295|chunk:robinson_crusoe.md:1202,high,claude,Civilisation-building thread spread across years of the island narrative
Q0034,factual_entity,english-literature,corpus/english-literature/North and South (Gaskell),North and South (Gaskell),How does Bessy Higgins explain the illness she contracted from working in the carding room and inhaling cotton fluff?,Bessy Higgins cotton fluff carding room illness lungs,chunk:north_and_south_gaskell.md:0547|chunk:north_and_south_gaskell.md:1468,high,claude,Industrial illness scene — factual working-class health detail
Q0035,thematic_semantic,english-literature,corpus/english-literature/North and South (Gaskell),North and South (Gaskell,How does Margaret Hale's movement from the rural south to industrial Milton transform her understanding of class and labour?,Margaret Hale Milton south north class labour transformation,chunk:north_and_south_gaskell.md:0627|chunk:north_and_south_gaskell.md:2025,high,claude,Margaret's cultural clash and growth across the novel
Q0036,cross_chunk_context,english-literature,corpus/english-literature/North and South (Gaskell),North and South (Gaskell),How does the mill workers' strike and Thornton's response to it reveal the conflict and eventual mutual respect between masters and men?,strike workers mill Thornton masters men conflict respect,chunk:north_and_south_gaskell.md:0669|chunk:north_and_south_gaskell.md:1751|chunk:north_and_south_gaskell.md:2212,high,claude,Strike thread runs from Higgins introduction through resolution — prime cross-chunk candidate
